100	500
n005073	64	52
n005088	223	122
n005101	396	128
n005104	209	262
n005112	65	323
n005114	31	4
n005120	100	130
n005122	49	35
n005123	82	77
n005135	336	43
n005136	48	48
n005137	172	159
n005145	69	69
n005148	45	6
n005157	169	156
n005159	486	423
n005179	199	392
n005181	214	275
n005188	117	109
n005225	73	71
n005226	368	299
n005233	63	211
n005280	58	78
n005282	204	20
n005294	88	19
n005301	255	208
n005303	15	238
n005306	56	120
n005312	368	73
n005316	319	131
n005319	39	211
n005326	85	36
n005328	52	71
n005334	280	310
n005340	16	152
n005347	331	373
n005359	57	21
n005373	274	130
n005377	177	169
n005380	136	129
n005417	231	145
n005425	22	205
n005427	55	8
n005448	182	88
n005473	372	373
n005474	61	72
n005490	334	457
n005513	75	42
n005552	125	149
n005565	101	195
n005577	137	180
n005607	296	60
n005612	327	17
n005619	175	305
n005621	138	82
n005623	119	33
n005630	243	28
n005633	60	192
n005636	206	88
n005639	251	5
n005648	182	129
n005652	6	184
n005664	84	126
n005666	262	30
n005668	16	34
n005670	6	326
n005680	245	164
n005693	36	281
n005695	121	68
n005706	240	283
n005709	308	61
n005723	355	468
n005726	77	303
n005730	108	284
n005748	180	189
n005755	239	39
n005758	454	83
n005762	224	46
n005764	209	44
n005776	11	169
n005799	216	182
n005831	157	401
n005832	5	246
n005833	88	173
n005872	34	26
n005915	150	294
n005956	17	68
n005963	208	73
n005973	427	230
n006053	53	122
n006123	105	172
n006134	258	135
n006211	106	190
n006247	367	80
n006301	364	152
n006347	297	38
n006451	149	180
n006458	270	106
n006497	108	242
n006531	463	121
n006532	134	18
n006574	230	204
n006626	17	220
n006653	114	100
n006659	323	399
n006772	14	109
n006808	127	124
n006858	220	151
n006909	74	268
n006922	303	317
n006987	77	55
n006992	3	42
n007008	257	295
n007021	150	44
n007068	289	148
n007104	182	160
n007121	202	205
n007133	313	33
n007146	166	28
n007159	184	277
n007162	174	334
n007166	94	199
n007169	39	186
n007210	249	298
n007240	300	138
n007241	132	45
n007246	161	328
n007261	286	287
n007296	59	56
n007358	31	87
n007368	421	434
n007381	79	34
n007385	145	261
n007397	166	162
n007439	63	188
n007474	173	67
n007531	317	224
n007548	126	72
n007571	286	286
n007594	119	51
n007650	200	20
n007651	115	46
n007664	68	84
n007668	82	53
n007700	260	70
n007703	47	270
n007753	134	71
n007854	130	275
n007865	15	113
n007900	359	146
n007909	39	12
n007919	173	494
n007949	237	31
n007951	130	150
n008003	144	169
n008015	199	85
n008020	158	256
n008028	55	321
n008036	224	81
n008037	363	249
n008047	43	312
n008056	79	154
n008105	84	257
n008108	126	142
n008110	76	140
n008155	80	176
n008164	356	32
n008179	303	290
n008183	149	256
n008213	220	115
n008314	102	47
n008317	89	26
n008325	34	124
n008361	216	434
n008436	404	204
n008484	58	135
n008488	326	266
n008528	222	95
n008530	106	403
n008539	158	9
n008558	39	69
n008567	93	244
n008595	42	216
n008613	47	115
n008615	190	173
n008630	17	61
n008653	193	216
n008655	117	168
n008662	46	1
n008674	32	159
n008682	454	152
n008710	32	31
n008773	408	210
n008778	94	155
n008829	215	223
n008858	61	248
n008890	315	416
n008932	110	4
n008937	105	317
n008948	22	50
n008958	421	197
n008989	464	310
n009028	369	180
n009114	42	8
n009123	361	232
n009175	4	85
n009185	99	226
n009199	157	7
n009213	259	187
n009225	455	272
n009232	183	94
n009235	304	71
n009283	22	34
n009285	141	95
n009286	80	80
n009287	172	80
n009288	177	217
n009289	193	155
n009291	191	50
n009294	114	45
n000001	411	n002773	44
n000009	7	n008528	35
n000029	35	n008948	42
n000040	40	n002009	57
n000078	335	n005872	91
n000082	357	n002080	12
n000106	208	n002080	73
n000129	388	n005709	208
n000148	207	n005326	79
n000149	22	n001838	154
n000178	133	n004338	135
n000259	149	n002840	19
n000284	127	n002389	301
n000363	197	n004240	110
n000394	155	n002659	115
n000410	115	n005552	229
n000452	58	n005648	289
n000480	255	n005833	207
n000527	171	n008003	40
n000596	211	n005319	215
n000624	283	n004050	29
n000654	79	n008530	295
n000658	243	n007162	156
n000659	157	n009175	85
n000667	236	n002257	59
n000689	96	n004771	226
n000706	74	n003415	254
n000736	156	n001672	18
n000740	121	n004338	361
n000746	56	n001401	8
n000774	117	n005159	418
n000775	232	n007381	84
n000785	279	n002880	397
n000836	101	n005112	404
n000838	108	n003205	15
n000854	457	n008778	211
n000912	214	n004635	78
n000928	182	n008528	224
n000945	247	n005693	114
n000950	107	n002329	13
n000958	380	n000178	115
n000998	131	n005513	100
n001021	139	n002153	160
n001059	151	n005145	103
n001125	27	n000746	314
n001127	128	n003415	128
n001146	330	n008488	15
n001153	24	n005181	61
n001156	69	n004449	269
n001174	157	n008361	519
n001190	368	n006808	128
n001197	126	n007008	374
n001199	61	n001418	443
n001211	257	n008155	56
n001242	215	n005666	343
n001256	179	n002245	30
n001277	75	n004662	82
n001291	318	n005630	118
n001293	28	n005726	418
n001296	259	n008183	444
n001299	110	n007753	78
n001302	125	n007668	77
n001303	1	n001197	110
n001304	87	n001838	259
n001337	106	n000452	259
n001341	2	n006451	80
n001368	269	n000785	386
n001401	47	n002245	29
n001418	176	n001021	136
n001439	261	n004801	175
n001446	373	n001190	185
n001467	97	n005225	152
n001485	332	n008773	409
n001576	18	n000527	68
n001650	73	n004050	331
n001655	294	n007594	39
n001672	120	n000527	162
n001683	193	n005181	359
n001687	228	n003215	168
n001708	311	n007668	120
n001710	32	n005607	265
n001781	187	n005695	308
n001811	216	n009291	89
n001816	218	n005312	85
n001817	71	n005668	115
n001830	508	n002167	121
n001836	212	n005633	21
n001838	74	n004372	159
n001850	60	n006211	215
n001857	214	n008539	117
n001878	93	n004813	85
n001898	194	n008484	105
n001923	117	n003379	144
n001934	163	n002664	34
n001935	185	n004424	297
n001956	5	n007104	172
n001976	69	n004678	180
n002009	62	n001683	15
n002024	77	n007021	197
n002080	59	n005956	240
n002081	92	n007909	135
n002082	174	n002840	80
n002093	160	n005762	109
n002106	212	n005973	425
n002109	258	n008932	135
n002153	243	n005380	131
n002158	60	n005680	82
n002166	21	n002770	240
n002167	319	n004885	245
n002216	227	n007385	133
n002223	90	n005490	90
n002245	28	n007700	102
n002257	60	n002574	437
n002258	9	n007021	53
n002263	76	n001976	2
n002267	271	n001302	221
n002268	201	n004353	138
n002282	84	n001850	29
n002284	58	n009225	260
n002309	226	n008773	354
n002329	241	n005872	106
n002351	36	n007439	27
n002372	75	n004663	46
n002381	12	n002223	179
n002384	174	n001299	184
n002389	185	n008674	157
n002414	215	n009114	162
n002421	54	n000774	253
n002474	181	n005417	48
n002475	37	n001299	69
n002503	11	n004243	125
n002517	276	n004007	40
n002556	101	n009235	261
n002561	190	n005148	187
n002574	396	n006531	61
n002581	169	n004050	290
n002596	118	n004449	202
n002604	148	n002574	68
n002647	30	n004068	57
n002659	234	n002106	80
n002664	101	n000689	20
n002669	125	n006992	89
n002681	55	n000746	273
n002684	69	n006211	138
n002703	47	n002773	5
n002715	356	n002309	86
n002743	144	n005633	191
n002749	206	n008989	216
n002761	147	n004798	81
n002763	454	n005233	98
n002770	244	n002880	113
n002773	144	n005758	351
n002775	51	n004658	289
n002803	13	n005417	311
n002838	2	n005148	45
n002840	75	n008528	235
n002855	384	n007008	351
n002857	284	n003725	148
n002869	116	n000658	323
n002873	234	n009286	93
n002878	256	n007548	29
n002880	353	n002703	181
n002884	57	n008989	244
n002889	139	n003205	126
n002891	161	n001467	7
n002894	321	n002878	198
n003001	209	n003288	160
n003009	126	n000775	66
n003079	198	n005630	138
n003092	459	n005973	417
n003093	179	n005963	94
n003104	17	n005380	54
n003115	65	n005104	119
n003134	24	n000659	179
n003140	245	n008858	308
n003205	210	n009175	81
n003215	207	n008948	196
n003217	362	n001650	176
n003258	134	n000624	286
n003277	64	n004372	83
n003288	74	n004663	44
n003298	26	n005639	310
n003356	137	n000259	51
n003379	94	n001439	329
n003415	191	n005668	86
n003430	132	n007261	202
n003436	114	n004678	140
n003461	319	n006451	96
n003468	1	n005073	252
n003490	274	n002715	40
n003513	388	n004007	70
n003540	447	n002093	175
n003554	185	n004738	375
n003570	191	n005630	49
n003606	69	n004469	116
n003635	34	n004709	390
n003653	238	n005280	168
n003675	258	n002596	261
n003725	86	n003001	409
n003728	210	n004588	240
n003775	425	n004662	133
n003786	61	n002773	104
n003836	424	n003379	95
n003873	113	n002257	42
n003881	10	n007104	29
n003894	236	n000363	235
n003896	76	n007700	165
n003917	106	n004793	267
n003958	172	n005122	309
n004007	265	n005577	60
n004050	197	n005303	251
n004064	58	n004239	36
n004068	16	n000259	80
n004070	88	n005326	66
n004078	41	n008778	62
n004085	232	n002223	24
n004123	136	n008047	378
n004157	97	n001153	69
n004180	167	n005552	282
n004208	166	n002894	305
n004233	226	n000667	41
n004239	150	n005448	225
n004240	122	n005417	199
n004243	160	n004469	75
n004281	105	n002761	22
n004333	229	n004180	99
n004338	10	n006659	409
n004353	39	n007919	315
n004357	284	n000836	60
n004366	338	n007021	125
n004372	45	n000410	20
n004380	110	n008655	233
n004387	120	n004243	28
n004394	8	n008653	181
n004411	92	n002574	460
n004424	384	n004679	379
n004440	13	n003134	48
n004449	181	n002891	230
n004461	200	n008183	300
n004469	83	n007854	85
n004482	17	n007703	40
n004486	70	n005233	65
n004555	21	n004387	50
n004563	650	n008595	35
n004580	131	n000078	128
n004586	461	n007241	138
n004588	90	n004743	195
n004634	178	n002889	364
n004635	216	n004449	269
n004652	431	n002106	311
n004658	32	n002664	103
n004661	304	n007104	85
n004662	147	n000527	99
n004663	144	n005636	339
n004678	129	n007133	108
n004679	414	n005630	42
n004709	132	n003104	269
n004712	312	n001277	129
n004719	62	n008890	519
n004738	225	n007700	54
n004743	496	n002838	92
n004756	69	n009235	63
n004771	433	n008436	142
n004788	168	n008361	235
n004793	153	n002761	119
n004798	78	n007900	112
n004801	122	n004372	22
n004812	37	n006987	21
n004813	59	n002024	221
n004826	477	n001127	172
n004850	145	n005577	52
n004885	322	n009291	83
n004891	250	n005680	98
n004898	17	n004333	321
n004905	28	n004898	52
n004911	397	n001125	112
n004915	142	n001059	211
n004925	95	n004801	13
n004945	40	n005145	2
n004999	114	n002216	10
n005073	20	n000363	67
n005088	189	n007700	131
n005101	116	n005730	126
n005104	237	n008932	68
n005112	78	n005073	248
n005114	145	n004239	291
n005120	33	n005668	28
n005122	4	n005668	120
n005123	337	n002381	126
n005135	294	n004563	536
n005136	186	n001934	200
n005137	77	n009283	115
n005145	139	n005380	143
n005148	172	n003540	169
n005157	119	n000667	112
n005159	238	n003093	143
n005179	78	n008164	333
n005181	252	n004394	27
n005188	180	n001934	144
n005225	68	n003894	79
n005226	61	n005621	8
n005233	222	n002309	73
n005280	52	n005306	16
n005282	138	n004353	280
n005294	187	n007650	197
n005301	1	n007664	166
n005303	334	n006134	287
n005306	208	n004945	162
n005312	24	n008682	374
n005316	243	n005373	258
n005319	224	n005280	156
n005326	118	n003436	107
n005328	205	n004068	85
n005334	416	n008932	257
n005340	253	n002381	87
n005347	91	n001781	388
n005359	188	n005312	177
n005373	23	n002884	183
n005377	183	n005833	198
n005380	246	n008778	227
n005417	254	n008314	336
n005425	66	n005565	169
n005427	200	n005282	95
n005448	249	n002684	384
n005473	427	n001710	52
n005474	203	n008213	219
n005490	212	n002749	225
n005513	109	n008858	306
n005552	69	n005668	48
n005565	208	n008773	155
n005577	32	n008615	38
n005607	215	n001146	561
n005612	244	n005664	83
n005619	195	n004333	148
n005621	234	n005513	107
n005623	21	n003653	401
n005630	279	n001934	60
n005633	222	n004788	244
n005636	175	n006574	466
n005639	213	n004180	172
n005648	176	n009232	306
n005652	141	n003415	174
n005664	58	n001898	141
n005666	368	n002267	290
n005668	71	n005306	168
n005670	208	n006987	61
n005680	62	n005636	285
n005693	112	n007121	251
n005695	163	n008183	246
n005706	227	n004068	64
n005709	240	n008028	299
n005723	161	n002894	76
n005726	455	n005956	128
n005730	313	n002749	317
n005748	151	n001811	14
n005755	38	n003009	24
n005758	227	n000624	42
n005762	180	n002421	96
n005764	59	n000001	198
n005776	47	n003092	190
n005799	12	n002093	65
n005831	329	n008110	139
n005832	142	n002517	46
n005833	155	n005373	204
n005872	115	n008539	102
n005915	272	n001277	91
n005956	217	n005303	393
n005963	72	n009286	237
n005973	375	n007358	70
n006053	329	n003540	326
n006123	270	n004233	242
n006134	242	n000624	275
n006211	134	n004586	251
n006247	415	n002775	216
n006301	467	n008484	22
n006347	40	n001576	187
n006451	134	n009291	7
n006458	164	n000624	297
n006497	180	n004387	212
n006531	114	n009291	188
n006532	161	n004007	107
n006574	112	n002282	32
n006626	113	n000740	198
n006653	16	n001197	155
n006659	65	n002574	264
n006772	478	n008317	176
n006808	26	n001153	110
n006858	151	n004243	399
n006909	123	n001156	188
n006922	111	n005088	143
n006987	27	n008539	84
n006992	35	n002106	115
n007008	251	n005233	122
n007021	40	n004372	247
n007068	105	n006247	57
n007104	247	n008484	239
n007121	358	n006134	222
n007133	80	n000667	477
n007146	172	n004338	83
n007159	268	n005664	184
n007162	55	n002869	88
n007166	76	n007397	302
n007169	9	n002743	59
n007210	85	n004885	285
n007240	327	n007900	92
n007241	10	n008047	420
n007246	286	n005915	279
n007261	214	n002093	347
n007296	49	n003894	265
n007358	95	n005088	110
n007368	273	n001781	245
n007381	46	n000659	293
n007385	32	n004826	332
n007397	244	n005639	160
n007439	55	n002664	30
n007474	111	n002773	30
n007531	166	n001467	167
n007548	162	n000078	225
n007571	29	n008003	334
n007594	167	n002684	395
n007650	235	n001277	177
n007651	108	n004380	80
n007664	34	n005695	14
n007668	73	n002664	21
n007700	273	n000106	194
n007703	237	n007159	236
n007753	214	n008528	96
n007854	128	n001304	196
n007865	97	n003490	250
n007900	160	n005565	24
n007909	327	n004663	105
n007919	457	n001199	58
n007949	64	n005157	163
n007951	9	n006451	142
n008003	219	n002604	83
n008015	137	n007162	220
n008020	226	n000527	150
n008028	63	n000689	207
n008036	122	n005120	217
n008037	77	n005706	160
n008047	101	n001277	150
n008056	287	n001878	61
n008105	120	n003430	120
n008108	148	n001650	145
n008110	46	n002574	445
n008155	146	n002857	8
n008164	200	n005359	179
n008179	138	n005380	26
n008183	40	n002681	93
n008213	291	n004678	115
n008314	97	n006626	205
n008317	191	n007240	292
n008325	67	n004915	268
n008361	59	n001302	252
n008436	10	n004661	12
n008484	53	n003606	118
n008488	167	n005833	65
n008528	73	n006659	218
n008530	180	n004555	82
n008539	202	n005373	169
n008558	209	n000836	138
n008567	161	n007104	117
n008595	111	n000480	102
n008613	67	n007951	148
n008615	83	n007854	253
n008630	112	n004281	102
n008653	95	n002167	92
n008655	110	n002080	213
n008662	32	n003606	133
n008674	231	n002891	185
n008682	441	n006123	120
n008710	158	n002381	12
n008773	113	n003215	213
n008778	35	n004085	250
n008829	209	n005280	69
n008858	230	n005148	159
n008890	285	n005963	15
n008932	198	n006451	168
n008937	102	n008015	193
n008948	93	n002503	85
n008958	38	n002763	462
n008989	363	n005112	161
n009028	373	n001467	115
n009114	184	n002414	83
n009123	171	n009213	144
n009175	52	n005181	378
n009185	50	n002503	124
n009199	332	n006808	172
n009213	62	n000009	90
n009225	164	n005473	101
n009232	148	n001302	13
n009235	415	n000774	35
n009283	161	n005723	192
n009285	52	n005755	113
n009286	268	n001857	198
n009287	66	n005706	290
n009288	202	n007703	211
n009289	208	n008595	143
n009291	195	n001687	72
n009294	47	n008036	90
n000001	93	117
n000009	58	104
n000029	442	278
n000040	29	169
n000078	338	114
n000082	20	437
n000106	7	55
n000129	35	575
n000148	261	286
n000149	478	86
n000178	131	21
n000259	261	89
n000284	275	133
n000363	116	367
n000394	180	158
n000410	188	194
n000452	41	68
n000480	40	91
n000527	94	324
n000596	156	144
n000624	286	234
n000654	4	163
n000658	288	197
n000659	101	274
n000667	65	211
n000689	261	120
n000706	148	136
n000736	271	78
n000740	15	203
n000746	231	43
n000774	154	117
n000775	223	261
n000785	375	98
n000836	179	44
n000838	37	135
n000854	310	434
n000912	79	237
n000928	124	215
n000945	334	153
n000950	26	223
n000958	217	141
n000998	99	61
n001021	213	147
n001059	70	99
n001125	108	9
n001127	241	196
n001146	261	187
n001153	131	95
n001156	130	224
n001174	191	34
n001190	518	7
n001197	76	14
n001199	341	165
n001211	90	32
n001242	503	57
n001256	279	396
n001277	197	179
n001291	275	465
n001293	94	286
n001296	214	30
n001299	196	74
n001302	162	13
n001303	94	193
n001304	98	161
n001337	102	158
n001341	31	9
n001368	391	210
n001401	100	97
n001418	265	187
n001439	163	68
n001446	272	386
n001467	180	110
n001485	182	8
n001576	23	28
n001650	29	1
n001655	86	178
n001672	218	170
n001683	130	109
n001687	46	12
n001708	186	406
n001710	140	160
n001781	141	453
n001811	169	153
n001816	101	134
n001817	40	9
n001830	253	336
n001836	2	75
n001838	172	157
n001850	66	59
n001857	265	267
n001878	135	138
n001898	15	138
n001923	44	132
n001934	209	92
n001935	132	54
n001956	51	23
n001976	378	397
n002009	48	147
n002024	292	274
n002080	79	275
n002081	8	66
n002082	79	255
n002093	336	55
n002106	286	132
n002109	186	220
n002153	55	88
n002158	287	273
n002166	62	35
n002167	39	86
n002216	77	220
n002223	136	175
n002245	75	120
n002257	161	190
n002258	208	221
n002263	367	331
n002267	179	155
n002268	24	163
n002282	143	41
n002284	29	171
n002309	83	1
n002329	204	200
n002351	36	80
n002372	40	142
n002381	98	55
n002384	179	162
n002389	189	154
n002414	120	200
n002421	111	213
n002474	342	252
n002475	223	80
n002503	258	86
n002517	10	42
n002556	211	25
n002561	314	65
n002574	217	133
n002581	280	323
n002596	255	50
n002604	64	132
n002647	135	123
n002659	221	211
n002664	250	406
n002669	312	165
n002681	233	45
n002684	155	329
n002703	128	137
n002715	233	296
n002743	167	158
n002749	316	194
n002761	205	76
n002763	276	83
n002770	75	38
n002773	115	121
n002775	115	65
n002803	237	238
n002838	144	272
n002840	168	237
n002855	130	30
n002857	157	58
n002869	322	199
n002873	214	145
n002878	206	341
n002880	313	193
n002884	86	164
n002889	362	428
n002891	15	149
n002894	166	74
n003001	122	337
n003009	64	121
n003079	250	35
n003092	329	112
n003093	172	86
n003104	53	20
n003115	178	289
n003134	140	128
n003140	195	430
n003205	439	402
n003215	81	92
n003217	519	535
n003258	175	239
n003277	34	122
n003288	264	322
n003298	343	359
n003356	25	196
n003379	130	43
n003415	33	1
n003430	154	310
n003436	136	22
n003461	345	169
n003468	131	192
n003490	65	321
n003513	301	277
n003540	305	184
n003554	459	114
n003570	86	66
n003606	126	165
n003635	138	148
n003653	198	258
n003675	172	162
n003725	71	28
n003728	283	231
n003775	330	268
n003786	55	16
n003836	117	361
n003873	303	194
n003881	57	84
n003894	400	312
n003896	372	57
n003917	19	189
n003958	55	75
n004007	109	47
n004050	306	500
n004064	162	12
n004068	65	36
n004070	45	122
n004078	146	118
n004085	99	291
n004123	56	64
n004157	54	228
n004180	17	266
n004208	88	166
n004233	274	18
n004239	46	188
n004240	166	123
n004243	307	162
n004281	65	6
n004333	59	236
n004338	410	306
n004353	20	134
n004357	26	337
n004366	33	260
n004372	22	162
n004380	9	83
n004387	217	75
n004394	128	57
n004411	94	18
n004424	136	24
n004440	177	168
n004449	308	300
n004461	53	127
n004469	76	131
n004482	49	31
n004486	147	45
n004555	244	78
n004563	636	116
n004580	84	18
n004586	50	82
n004588	343	13
n004634	186	25
n004635	128	19
n004652	8	32
n004658	70	324
n004661	77	248
n004662	6	264
n004663	60	94
n004678	202	127
n004679	444	16
n004709	530	394
n004712	122	23
n004719	205	194
n004738	48	27
n004743	220	208
n004756	315	409
n004771	120	53
n004788	118	178
n004793	111	288
n004798	62	11
n004801	88	246
n004812	248	179
n004813	16	14
n004826	249	223
n004850	412	282
n004885	91	122
n004891	47	79
n004898	33	107
n004905	151	251
n004911	405	149
n004915	266	324
n004925	206	35
n004945	30	211
n004999	238	276
n005073	52	241
n005088	87	243
n005101	57	24
n005104	263	107
n005112	365	78
n005114	30	146
n005120	145	274
n005122	69	348
n005123	162	154
n005135	391	304
n005136	233	213
n005137	164	42
n005145	160	17
n005148	242	180
n005157	167	28
n005159	108	387
n005179	356	114
n005181	119	210
n005188	119	91
n005225	178	116
n005226	420	365
n005233	162	121
n005280	75	166
n005282	248	212
n005294	52	31
n005301	26	244
n005303	9	199
n005306	185	139
n005312	493	289
n005316	44	288
n005319	308	456
n005326	85	49
n005328	120	154
n005334	111	176
n005340	202	164
n005347	52	247
n005359	100	139
n005373	81	60
n005377	37	213
n005380	205	204
n005417	26	129
n005425	128	57
n005427	160	122
n005448	185	141
n005473	444	14
n005474	38	142
n005490	220	29
n005513	1	38
n005552	142	247
n005565	54	164
n005577	341	110
n005607	112	294
n005612	56	343
n005619	272	108
n005621	184	10
n005623	1	68
n005630	64	138
n005633	142	202
n005636	73	23
n005639	156	151
n005648	143	71
n005652	19	169
n005664	205	37
n005666	470	73
n005668	41	104
n005670	103	144
n005680	257	266
n005693	287	161
n005695	217	181
n005706	197	296
n005709	241	415
n005723	420	256
n005726	57	405
n005730	32	86
n005748	29	112
n005755	172	198
n005758	212	263
n005762	83	44
n005764	228	264
n005776	436	121
n005799	52	121
n005831	185	360
n005832	251	236
n005833	203	37
n005872	7	9
n005915	206	86
n005956	69	281
n005963	236	106
n005973	376	439
n006053	263	295
n006123	234	90
n006134	266	175
n006211	235	102
n006247	327	95
n006301	225	435
n006347	225	197
n006451	176	105
n006458	12	251
n006497	107	62
n006531	145	121
n006532	121	25
n006574	419	193
n006626	195	85
n006653	105	46
n006659	41	273
n006772	482	168
n006808	169	220
n006858	36	36
n006909	124	119
n006922	240	3
n006987	95	75
n006992	81	80
n007008	24	154
n007021	57	199
n007068	189	124
n007104	241	236
n007121	423	135
n007133	245	45
n007146	196	166
n007159	164	245
n007162	107	67
n007166	29	137
n007169	30	175
n007210	100	275
n007240	318	47
n007241	178	42
n007246	2	184
n007261	298	317
n007296	114	19
n007358	19	66
n007368	433	290
n007381	42	143
n007385	181	21
n007397	303	363
n007439	45	9
n007474	132	81
n007531	27	110
n007548	330	323
n007571	19	23
n007594	46	140
n007650	110	172
n007651	33	98
n007664	91	172
n007668	134	118
n007700	58	195
n007703	286	224
n007753	366	140
n007854	110	103
n007865	132	22
n007900	369	354
n007909	191	43
n007919	460	492
n007949	66	45
n007951	169	60
n008003	271	189
n008015	138	68
n008020	78	189
n008028	93	87
n008036	147	97
n008037	3	9
n008047	122	331
n008056	104	312
n008105	265	80
n008108	17	159
n008110	150	143
n008155	129	149
n008164	210	77
n008179	96	16
n008183	351	73
n008213	105	142
n008314	232	173
n008317	116	73
n008325	29	51
n008361	250	509
n008436	33	200
n008484	236	84
n008488	270	86
n008528	57	222
n008530	26	128
n008539	41	160
n008558	119	172
n008567	83	124
n008595	100	227
n008613	282	52
n008615	186	108
n008630	116	277
n008653	188	201
n008655	138	317
n008662	166	108
n008674	219	80
n008682	3	171
n008710	353	368
n008773	295	347
n008778	73	179
n008829	180	146
n008858	21	119
n008890	251	123
n008932	242	85
n008937	221	140
n008948	159	143
n008958	37	29
n008989	480	48
n009028	55	479
n009114	171	16
n009123	250	88
n009175	100	20
n009185	49	466
n009199	43	143
n009213	46	274
n009225	430	445
n009232	21	11
n009235	160	131
n009283	79	122
n009285	51	125
n009286	195	162
n009287	148	18
n009288	179	182
n009289	211	66
n009291	26	87
